id,description,cost,createTime
79f357c6-0298-456c-8aed-5fdada1b0e19,Sushi,251.70636535917566,2022-09-01
b3674a1b-54ea-42aa-bdbc-12ea6a374d77,Date,122.21558170710122,2022-09-01
5dd55f04-d0ba-4e72-bc50-6c1dc8095e70,Papaya,193.96700195499488,2022-09-01
cbc1a78f-3a0f-4d31-9e28-6f122d5c3b38,Seville,242.71808117713266,2022-09-01
4da5f70c-22e7-4149-a8ce-532eca62692e,Rhubarb,326.6112148867812,2022-09-01
a43f14bd-4304-42a7-86b1-99ea444f1e18,Ginger,477.592745610142,2022-09-01
7e75daa6-930b-4e3c-9158-7895d02041ac,Kumquat,129.07970425731529,2022-09-01
6a5d5608-9022-4db6-947f-402016418370,Nance,161.05447889647377,2022-09-01
62d2c336-d08d-4db0-a9e0-8127e44cfb07,Jasmine,85.72794526052212,2022-09-01
4565340b-8adb-4351-9c1c-e7867c188f93,Lychee,205.48761722782766,2022-09-01
b67e83a6-10fe-4ab8-902a-dd8dd644d53a,Peach,288.8523666549658,2022-09-01
45232946-887f-48cc-9d52-d20a97ff05d5,Calrose,368.57263108906466,2022-09-01
e96e7f49-cd5e-4896-89a6-4a488b8022ae,Prunes,57.1711279383405,2022-09-01
65e4d912-16bf-4a9e-ac85-52b2a3455d4c,Prickly Pear/Cactus Pear,190.89389950024903,2022-09-01
88c42b2e-3a29-4a83-a188-397805fca2eb,Mamey Sapote,245.3960976114249,2022-09-01
b595dd3d-e3ec-4242-9739-620b2c1484fd,Mangosteen,426.33368355401143,2022-09-01
e22767be-d762-4e47-847f-a08aabdf5454,Sticky/Glutinous/Sweet/Mochi,438.5786039532058,2022-09-01
c552855f-284a-4de3-b9b3-dbfdbd1e5d76,Tamarind,378.61648465389004,2022-09-01
47026dcd-1988-4349-adee-1f10e8cee2d5,Pineapple,396.4293741453894,2022-09-01
6d1dbc87-577a-4431-a3e9-55a7ddcdcc58,Valencia,153.7059752181698,2022-09-01
298707d5-9bc0-4b2c-a4e1-4ecb8e8530f1,Banana,354.30859085036496,2022-09-01
9334aee5-d954-4f89-80c5-14eca2546b54,Calasparra,422.28487832491317,2022-09-01
1fe847eb-d4c9-4d1b-8063-4ea954642872,Fig,54.620114557780255,2022-09-01
998dca50-7a01-4eb7-86cc-91f6386d0322,Apple,443.73847329745854,2022-09-01
f16cce24-5972-4e16-8da4-008e2ac415be,Blood Orange,294.5544498055428,2022-09-01
9f5f8633-4770-4010-abc4-0a77a51916bd,Breadfruit,143.9500421482498,2022-09-01
92b7a0d0-a401-4a62-b26b-fc2c6cacf324,Durian,242.19901935388816,2022-09-01
9c56fd84-c203-4185-8401-5b96912b9ad3,Carob,126.39976175581867,2022-09-01
d693b515-9e12-4668-9cf6-79caadafd7ea,Avocado,115.72584402020773,2022-09-01
6d0b3f13-614a-4446-8d94-691258ba7631,Pomeloeas,299.0,2022-09-01
b7990cc8-b6d4-45a5-a927-5530aad08cd6,Damson,401.49168722762226,2022-09-01
396ab77b-cbd4-442e-b39b-f9e2bc982b52,Apricot,255.49093500080775,2022-09-01
d4fffe23-4252-4e0a-a7a2-e648c9d7537a,Cherry,132.32407766928998,2022-09-01
0645d871-37ef-465b-9489-44a77045ff9b,Short Grain,490.9884370222332,2022-09-01
2c461fca-f3eb-446b-a937-e3aed47af597,Berries- see Berries List,171.95858617167198,2022-09-01
78bc7796-53de-4264-aefd-8c86851b6f0f,Tangerine,138.8891296392582,2022-09-01
1778eda7-414f-4c01-b0b4-92269db10338,Loquat,184.5429285096819,2022-09-01
69b0b8fa-7c36-4f2e-86ef-3fd4b92f4daf,Basmati,349.8704044970848,2022-09-01
618507e9-c6a1-4508-b32b-ef937b9b8d48,Wild Rice,277.3982258706198,2022-09-01
fe1f8c4b-de73-4fff-be76-eccec9e2cd1b,Starfruit,453.75049693152624,2022-09-01
6eccce6b-455f-4729-bf3f-8f7ac2ffdb9a,Long Grain,122.95576686058634,2022-09-01
